acton town,3
aldgate,1
aldgate east,1
alperton,4
amersham,9
angel,1
archway,2
arnos grove,4
arsenal,2
baker street,1
balham,3
bank,1
barbican,1
barking,4
barkingside,4
barons court,2
bayswater,1
becontree,5
belsize park,2
bermondsey,2
bethnal green,2
blackfriars,1
blackhorse road,3
bond street,1
borough,1
boston manor,4
bounds green,3
bow road,2
brent cross,3
brixton,2
bromley-by-bow,2
buckhurst hill,5
burnt oak,4
caledonian road,2
camden town,2
canada water,2
canary wharf,2
canning town,2
cannon street,1
canons park,5
chalfont & latimer,8
chalk farm,2
chancery lane,1
charing cross,1
chesham,9
chigwell,4
chiswick park,3
chorleywood,7
clapham common,2
clapham north,2
clapham south,2
cockfosters,5
colindale,4
colliers wood,3
covent garden,1
croxley,7
dagenham east,5
dagenham heathway,5
debden,6
dollis hill,3
ealing broadway,3
ealing common,3
earl's court,1
east acton,2
east finchley,3
east ham,3
east putney,2
eastcote,5
edgware,5
edgware road,1
edgware road,1
elephant & castle,1
elm park,6
embankment,1
epping,6
euston,1
euston square,1
fairlop,4
farringdon,1
finchley central,4
finchley road,2
finsbury park,2
fulham broadway,2
gants hill,4
gloucester road,1
golders green,3
goldhawk road,2
goodge street,1
grange hill,4
great portland street,1
green park,1
greenford,4
gunnersbury,3
hainault,4
hammersmith,2
hammersmith,2
hampstead,2
hanger lane,3
harlesden,3
harrow & wealdstone,5
harrow-on-the-hill,5
hatton cross,5
heathrow terminal 4,6
heathrow terminal 5,6
heathrow terminals 2 & 3,6
hendon central,3
high barnet,5
high street kensington,1
highbury & islington,2
highgate,3
hillingdon,6
holborn,1
holland park,2
holloway road,2
hornchurch,6
hounslow central,4
hounslow east,4
hounslow west,5
hyde park corner,1
ickenham,6
kennington,2
kensal green,2
kensington (olympia),2
kentish town,2
kenton,4
kew gardens,3
kilburn,2
kilburn park,2
king's cross st pancras,1
kingsbury,4
knightsbridge,1
ladbroke grove,2
lambeth north,1
lancaster gate,1
latimer road,2
leicester square,1
leyton,3
leytonstone,3
liverpool street,1
london bridge,1
loughton,6
maida vale,2
manor house,2
mansion house,1
marble arch,1
marylebone,1
mile end,2
mill hill east,4
monument,1
moor park,6
moorgate,1
morden,4
mornington crescent,2
neasden,3
newbury park,4
north acton,2
north ealing,3
north greenwich,2
north harrow,5
north wembley,4
northfields,3
northolt,5
northwick park,4
northwood,6
northwood hills,6
notting hill gate,1
oakwood,5
old street,1
osterley,4
oval,2
oxford circus,1
paddington,1
paddington,1
park royal,3
parsons green,2
perivale,4
piccadilly circus,1
pimlico,1
pinner,5
plaistow,3
preston road,4
putney bridge,2
queen's park,2
queensbury,4
queensway,1
ravenscourt park,2
rayners lane,5
redbridge,4
regent's park,1
richmond,4
rickmansworth,7
roding valley,4
royal oak,2
ruislip,6
ruislip gardens,5
ruislip manor,6
russell square,1
seven sisters,3
shepherd's bush,2
shepherd's bush market,2
sloane square,1
snaresbrook,4
south ealing,3
south harrow,5
south kensington,1
south kenton,4
south ruislip,5
south wimbledon,3
south woodford,4
southfields,3
southgate,4
southwark,1
st. james's park,1
st. john's wood,2
st. paul's,1
stamford brook,2
stanmore,5
stepney green,2
stockwell,2
stonebridge park,3
stratford,2
sudbury hill,4
sudbury town,4
swiss cottage,2
temple,1
theydon bois,6
tooting bec,3
tooting broadway,3
tottenham court road,1
tottenham hale,3
totteridge & whetstone,4
tower hill,1
tufnell park,2
turnham green,2
turnpike lane,3
upminster,6
upminster bridge,6
upney,4
upton park,3
uxbridge,6
vauxhall,1
victoria,1
walthamstow central,3
wanstead,4
warren street,1
warwick avenue,2
waterloo,1
watford,7
wembley central,4
wembley park,4
west acton,3
west brompton,2
west finchley,4
west ham,2
west hampstead,2
west harrow,5
west kensington,2
west ruislip,6
westbourne park,2
westminster,1
white city,2
whitechapel,2
willesden green,2
willesden junction,2
wimbledon,3
wimbledon park,3
wood green,3
wood lane,2
woodford,4
woodside park,4
